DATE TIME,STEP,STEP REWARD BUY,LOSS BUY,EPSILON,SUM PLAY SCORE BUY,BEST SUM PLAY SCORE BUY,TARGET UPDATE,TIMESTAMP
Tue Nov 23 05:08:33 2021,900,-10.026660494987404,0.012276551426067879,0.9910502446782586,-162.88714259942404,True,,1637618913.5323415
Tue Nov 23 05:08:38 2021,1000,,,,,,1.0,1637618918.6676116
Tue Nov 23 05:09:19 2021,1800,20.051806756584995,0.031451178330462425,0.9821707656709592,-108.74337569325755,True,,1637618959.9712014
Tue Nov 23 05:09:29 2021,2000,,,,,,1.0,1637618969.7410803
Tue Nov 23 05:10:04 2021,2700,-2.09522590815543,0.042616870380524134,0.9733708438282579,3.862815719139803,True,,1637619004.5650403
Tue Nov 23 05:10:19 2021,3000,,,,,,1.0,1637619019.511068
Tue Nov 23 05:10:50 2021,3600,-13.274268094780666,0.04212675726041198,0.9646497663445472,56.157629306062525,True,,1637619050.024733
Tue Nov 23 05:11:09 2021,4000,,,,,,1.0,1637619069.6119616
Tue Nov 23 05:11:34 2021,4500,-10.805617264259652,0.04044089081800646,0.956006826800716,153.43754891558876,True,,1637619094.4973893
Tue Nov 23 05:11:58 2021,5000,,,,,,1.0,1637619118.8702264
Tue Nov 23 05:12:19 2021,5400,-18.332716334906547,0.036479321622496674,0.947441325106938,87.28360462675337,,,1637619139.6141942
Tue Nov 23 05:12:49 2021,6000,,,,,,1.0,1637619169.1063628
Tue Nov 23 05:13:05 2021,6300,30.25824535236932,0.04641555191017687,0.9389525674459531,-17.139891028389883,,,1637619185.463034
Tue Nov 23 05:13:40 2021,7000,,,,,,1.0,1637619220.1460145
Tue Nov 23 05:13:50 2021,7200,-8.923532496130417,0.05154710279777646,0.9305398662168712,0.463567003715724,,,1637619230.6230025
Tue Nov 23 05:14:30 2021,8000,,,,,,1.0,1637619270.4286995
Tue Nov 23 05:14:36 2021,8100,35.94546308687182,0.05081538404648503,0.9222025399794822,99.79004713632129,,,1637619276.2591114
Tue Nov 23 05:15:20 2021,9000,,,,,,1.0,1637619320.912789
Tue Nov 23 05:15:21 2021,9000,-28.9508217920173,0.05081224230635497,0.9139399133990471,14.464350088456158,,,1637619321.6727571
Tue Nov 23 05:16:06 2021,9900,-7.041820291744945,0.05482265520220002,0.9057513171916037,-51.642608633942686,,,1637619366.7941706
Tue Nov 23 05:16:11 2021,10000,,,,,,1.0,1637619371.9703321
Tue Nov 23 05:16:52 2021,10800,-7.228269732953409,0.05606703483189146,0.8976360880697495,-33.670152355030325,,,1637619412.9487734
Tue Nov 23 05:17:02 2021,11000,,,,,,1.0,1637619422.8444343
Tue Nov 23 05:17:39 2021,11700,7.975291926240881,0.05081427631485793,0.889593568688912,22.827245235443257,,,1637619459.043907
Tue Nov 23 05:17:54 2021,12000,,,,,,1.0,1637619474.2831793
Tue Nov 23 05:18:25 2021,12600,6.599777382177736,0.05159778916897873,0.8816231075941141,12.004141516471407,,,1637619505.0968733
Tue Nov 23 05:18:45 2021,13000,,,,,,1.0,1637619525.0495288
Tue Nov 23 05:19:11 2021,13500,28.72533058901362,0.0500748565285984,0.873724059167187,-18.24171788957925,,,1637619551.0362473
Tue Nov 23 05:19:35 2021,14000,,,,,,1.0,1637619575.9077513
Tue Nov 23 05:19:56 2021,14400,-5.54564212580231,0.048986350420034595,0.8658957835744937,-26.101618195680672,,,1637619596.8129838
Tue Nov 23 05:20:27 2021,15000,,,,,,1.0,1637619627.2414725
Tue Nov 23 05:20:42 2021,15300,-15.782659458471983,0.04606049349324571,0.8581376467150921,-10.182232900926948,,,1637619642.997043
Tue Nov 23 05:21:18 2021,16000,,,,,,1.0,1637619678.5988913
Tue Nov 23 05:21:29 2021,16200,12.433386792054955,0.05004550426784489,0.8504490201693695,0.3834980037928517,,,1637619689.1965585
Tue Nov 23 05:22:09 2021,17000,,,,,,1.0,1637619729.5127685
Tue Nov 23 05:22:15 2021,17100,2.644267739842297,0.053752296217199826,0.8428292811481425,69.64779092897135,,,1637619735.527687
Tue Nov 23 05:23:02 2021,18000,,,,,,1.0,1637619782.2762363
Tue Nov 23 05:23:03 2021,18000,26.28383977111336,0.055361935038947395,0.8352778124422134,141.37130558985382,,,1637619783.1120021
Tue Nov 23 05:23:49 2021,18900,17.83693405156398,0.053254635909365286,0.8277940023723716,123.34493220941827,,,1637619829.651593
Tue Nov 23 05:23:54 2021,19000,,,,,,1.0,1637619834.8347354
Tue Nov 23 05:24:36 2021,19800,-22.47874790355813,0.04956794496625662,0.8203772447398489,13.597719353088138,,,1637619876.5710166
Tue Nov 23 05:24:46 2021,20000,,,,,,1.0,1637619886.5483406
Tue Nov 23 05:25:22 2021,20700,18.178825751410468,0.0486238047056314,0.8130269387772104,178.69618249099744,True,,1637619922.8100433
Tue Nov 23 05:25:38 2021,21000,,,,,,1.0,1637619938.3963714
Tue Nov 23 05:26:09 2021,21600,-19.067583426590506,0.049309864033841425,0.8057424890997034,100.05810041826231,,,1637619969.6271987
Tue Nov 23 05:26:30 2021,22000,,,,,,1.0,1637619990.1525002
Tue Nov 23 05:26:56 2021,22500,-19.766720775927734,0.0490874092736178,0.798523305657021,187.50212486891203,True,,1637620016.9472077
Tue Nov 23 05:27:23 2021,23000,,,,,,1.0,1637620043.093329
Tue Nov 23 05:27:44 2021,23400,12.612751507541272,0.05003706192597747,0.791368803685508,29.93166063735724,,,1637620064.9865446
Tue Nov 23 05:28:17 2021,24000,,,,,,1.0,1637620097.0401838
