DATE TIME,STEP,STEP REWARD SELL,LOSS SELL,EPSILON,SUM PLAY SCORE SELL,BEST SUM PLAY SCORE SELL,TARGET UPDATE,TIMESTAMP
Tue Nov 23 05:08:43 2021,900,-14.482041505978108,0.010590358011926105,0.9910502446782586,-162.88714259942404,True,,1637618923.526723
Tue Nov 23 05:08:48 2021,1000,,,,,,1.0,1637618928.7409527
Tue Nov 23 05:09:29 2021,1800,-20.899393721981536,0.042357268039551046,0.9821707656709592,-162.88714259942404,,,1637618969.3790483
Tue Nov 23 05:09:38 2021,2000,,,,,,1.0,1637618978.842747
Tue Nov 23 05:10:13 2021,2700,-22.88375820147241,0.04550030012408064,0.9733708438282579,-162.88714259942404,,,1637619013.9190192
Tue Nov 23 05:10:28 2021,3000,,,,,,1.0,1637619028.5100083
Tue Nov 23 05:10:59 2021,3600,8.097333734658788,0.04909054351349672,0.9646497663445472,1.315480860659605,True,,1637619059.9627597
Tue Nov 23 05:11:20 2021,4000,,,,,,1.0,1637619080.7072575
Tue Nov 23 05:11:46 2021,4500,24.53339532424195,0.05022325623780489,0.956006826800716,12.506636375689098,True,,1637619106.723701
Tue Nov 23 05:12:11 2021,5000,,,,,,1.0,1637619131.5357924
Tue Nov 23 05:12:32 2021,5400,-29.656113083949798,0.054826959834123654,0.947441325106938,-90.0882230711135,,,1637619152.4628422
Tue Nov 23 05:13:02 2021,6000,,,,,,1.0,1637619182.066116
Tue Nov 23 05:13:17 2021,6300,-1.4946108858480347,0.06304467401156823,0.9389525674459531,-107.14042457721185,,,1637619197.5961354
Tue Nov 23 05:13:52 2021,7000,,,,,,1.0,1637619232.3583632
Tue Nov 23 05:14:02 2021,7200,19.978256298789653,0.06706111601657337,0.9305398662168712,-118.80012546458502,,,1637619242.9282346
Tue Nov 23 05:14:42 2021,8000,,,,,,1.0,1637619282.133406
Tue Nov 23 05:14:47 2021,8100,-7.888978882651284,0.06021104088673989,0.9222025399794822,2.017566192388486,,,1637619287.6057749
Tue Nov 23 05:15:32 2021,9000,,,,,,1.0,1637619332.1916838
Tue Nov 23 05:15:32 2021,9000,-18.037997356634406,0.05713399604997701,0.9139399133990471,-141.0794343990487,,,1637619332.9606283
Tue Nov 23 05:16:18 2021,9900,-24.099485707500797,0.05714013516902924,0.9057513171916037,-123.61112943582907,,,1637619378.563704
Tue Nov 23 05:16:23 2021,10000,,,,,,1.0,1637619383.5703182
Tue Nov 23 05:17:03 2021,10800,14.965319172880934,0.06296645637187692,0.8976360880697495,-325.7915756583817,,,1637619423.9175653
Tue Nov 23 05:17:13 2021,11000,,,,,,1.0,1637619433.8471196
Tue Nov 23 05:17:49 2021,11700,10.226486912455574,0.06259250849692358,0.889593568688912,-296.1323028026898,,,1637619469.6325974
Tue Nov 23 05:18:05 2021,12000,,,,,,1.0,1637619485.2939346
Tue Nov 23 05:18:36 2021,12600,-33.23023317368966,0.059390977064354554,0.8816231075941141,-28.460865254932692,,,1637619516.253046
Tue Nov 23 05:18:56 2021,13000,,,,,,1.0,1637619536.0223029
Tue Nov 23 05:19:21 2021,13500,-4.131974138104837,0.06113078950800829,0.873724059167187,-283.86594865846837,,,1637619561.7865055
Tue Nov 23 05:19:46 2021,14000,,,,,,1.0,1637619586.882534
Tue Nov 23 05:20:07 2021,14400,10.21633133324094,0.05888605900108814,0.8658957835744937,-68.6372020100277,,,1637619607.7058613
Tue Nov 23 05:20:38 2021,15000,,,,,,1.0,1637619638.4113028
Tue Nov 23 05:20:54 2021,15300,8.585284465285064,0.05659030426914493,0.8581376467150921,-200.99033228215308,,,1637619654.0334718
Tue Nov 23 05:21:29 2021,16000,,,,,,1.0,1637619689.0459602
Tue Nov 23 05:21:39 2021,16200,19.309765000788122,0.06018004161616167,0.8504490201693695,-136.52572566774182,,,1637619699.7413642
Tue Nov 23 05:22:20 2021,17000,,,,,,1.0,1637619740.4684775
