DATE TIME,STEP,STEP REWARD SELL,LOSS SELL,EPSILON,SUM PLAY SCORE SELL,BEST SUM PLAY SCORE SELL,TIMESTAMP
Tue Nov 23 08:55:23 2021,900,19.616788989578183,0.09597343801637583,0.9910502446782586,162.88714259942404,True,1637632523.154728
Tue Nov 23 08:56:21 2021,1800,5.506343594633628,0.09580037696080075,0.9821707656709592,-162.88714259942404,,1637632581.1130583
Tue Nov 23 08:57:14 2021,2700,30.8630618263021,0.10930530929317077,0.9733708438282579,-162.88714259942404,,1637632634.8127115
Tue Nov 23 08:58:15 2021,3600,-16.37124610038274,0.10923335809674528,0.9646497663445472,162.88714259942404,,1637632695.4970362
Tue Nov 23 08:59:09 2021,4500,37.16481339632528,0.09723631395647923,0.956006826800716,162.88714259942404,,1637632749.9660485
Tue Nov 23 09:00:03 2021,5400,3.0971644422382356,0.09849621139880683,0.947441325106938,-48.06552159176456,,1637632803.3609214
Tue Nov 23 09:00:57 2021,6300,-20.53986942096896,0.09562905363324616,0.9389525674459531,-33.61530928156326,,1637632857.7226536
Tue Nov 23 09:01:53 2021,7200,-7.695350884256622,0.08926885226534473,0.9305398662168712,-44.66184716978915,,1637632913.0217488
Tue Nov 23 09:02:50 2021,8100,7.348292183758412,0.0840334050067597,0.9222025399794822,12.368188175144972,,1637632970.1677196
Tue Nov 23 09:03:46 2021,9000,11.190393777082015,0.081474594614572,0.9139399133990471,-1.5470208162016874,,1637633026.0390768
Tue Nov 23 09:04:42 2021,9900,6.085591618986011,0.07512976345916589,0.9057513171916037,-179.30544318368774,,1637633082.1798954
Tue Nov 23 09:05:38 2021,10800,-16.245849679327435,0.0686343137650854,0.8976360880697495,-52.703287249020576,,1637633138.6557426
Tue Nov 23 09:06:35 2021,11700,-14.141018959950904,0.06940180021234685,0.889593568688912,64.36089227477234,,1637633195.6798544
Tue Nov 23 09:07:32 2021,12600,-10.098404487411567,0.0683027509558532,0.8816231075941141,-73.37845252126974,,1637633252.9958196
Tue Nov 23 09:08:30 2021,13500,-29.48751075109681,0.07150629279514154,0.873724059167187,-131.76384518505552,,1637633310.9827712
Tue Nov 23 09:09:27 2021,14400,25.989766272814123,0.07277423320959012,0.8658957835744937,-41.61313896175997,,1637633367.5057259
Tue Nov 23 09:10:26 2021,15300,21.480197548461216,0.07262140182157358,0.8581376467150921,-30.772269375541626,,1637633426.0786693
Tue Nov 23 09:11:24 2021,16200,-25.72358583384607,0.0749316969803638,0.8504490201693695,-33.61698805131895,,1637633484.1182733
Tue Nov 23 09:12:22 2021,17100,-0.9861203615131675,0.07300751492174136,0.8428292811481425,-36.88102794128649,,1637633542.958966
Tue Nov 23 09:13:20 2021,18000,-6.299752803913103,0.06889253550933468,0.8352778124422134,-44.799810158352884,,1637633600.3286498
Tue Nov 23 09:14:17 2021,18900,2.7544623575726015,0.07399293637524049,0.8277940023723716,-141.2207525226089,,1637633657.9588673
Tue Nov 23 09:15:16 2021,19800,20.945381782103077,0.0740713349584904,0.8203772447398489,-148.70861430482958,,1637633716.3967144
Tue Nov 23 09:16:14 2021,20700,21.122626403193713,0.0748999985659288,0.8130269387772104,-222.30895018753546,,1637633774.4416058
Tue Nov 23 09:17:13 2021,21600,-18.229088562391272,0.0726991215099891,0.8057424890997034,-105.74815783836911,,1637633833.0055585
Tue Nov 23 09:18:13 2021,22500,-14.33206432519064,0.07145757640194561,0.798523305657021,-13.813918127109453,,1637633893.7766469
Tue Nov 23 09:19:13 2021,23400,0.4435317222397215,0.07177647091034386,0.791368803685508,82.45346021001593,,1637633953.1894794
Tue Nov 23 09:20:12 2021,24300,-23.60336313781866,0.06642396222800016,0.7842784036607982,-29.898680889049366,,1637634012.9279013
Tue Nov 23 09:21:13 2021,25200,5.588080985991148,0.06607189830392599,0.7772515312508697,-27.95465037171942,,1637634073.6050045
Tue Nov 23 09:22:14 2021,26100,-4.781798010205373,0.06414261255620254,0.7702876172695216,2.873384473490759,,1637634134.833308
Tue Nov 23 09:23:14 2021,27000,-7.848139236706602,0.06243940719506807,0.7633860976302757,-57.806206568096684,,1637634194.1417236
Tue Nov 23 09:24:14 2021,27900,6.119513338279715,0.06697270493747459,0.7565464133006761,12.323355175770274,,1637634254.4143374
Tue Nov 23 09:25:14 2021,28800,-1.2154052652256695,0.061214804891496895,0.7497680102570136,-31.154792604267037,,1637634314.6234381
Tue Nov 23 09:26:15 2021,29700,-4.639933769845889,0.05774218210329612,0.7430503394394447,-8.479135109882293,,1637634375.4120905
Tue Nov 23 09:27:15 2021,30600,32.1097789734307,0.05756549598235223,0.7363928567075162,65.65930535193729,,1637634435.4230986
Tue Nov 23 09:28:15 2021,31500,-1.1986607989653963,0.05759623310425215,0.7297950227960978,25.17388869567023,,1637634495.7769175
Tue Nov 23 09:29:16 2021,32400,2.8475599894301933,0.05660009123591913,0.7232563032716876,131.23227609667236,,1637634556.8700812
Tue Nov 23 09:30:17 2021,33300,-5.40412208964606,0.05544305632304814,0.7167761684891342,-128.34847162585064,,1637634617.3211284
Tue Nov 23 09:31:23 2021,34200,5.8428838950109725,0.0567071434462236,0.710354093548728,81.59999079239265,,1637634683.0715363
Tue Nov 23 09:32:32 2021,35100,-11.088442754840006,0.05648519219830632,0.7039895582536885,7.996812548356068,,1637634752.7832465
Tue Nov 23 09:33:37 2021,36000,-12.584167914899336,0.05443947990528411,0.6976820470680167,-26.67543681024874,,1637634817.3480377
Tue Nov 23 09:34:39 2021,36900,10.304418054121486,0.05317583731272155,0.6914310490747512,65.48756321601473,,1637634879.8641086
