DATE TIME,STEP,STEP REWARD BUY,LOSS BUY,EPSILON,SUM PLAY SCORE BUY,BEST SUM PLAY SCORE BUY,TIMESTAMP
Tue Nov 23 08:54:51 2021,900,-21.26506065413559,0.03371033625370717,0.9910502446782586,-162.88714259942404,True,1637632491.4327896
Tue Nov 23 08:55:50 2021,1800,-20.05943139260929,0.05592059079350697,0.9821707656709592,-172.4716935172813,,1637632550.3530338
Tue Nov 23 08:56:47 2021,2700,18.603098401300386,0.06254960542751684,0.9733708438282579,0.4882402020538237,True,1637632607.2214952
Tue Nov 23 08:57:45 2021,3600,-4.034151542495338,0.05741134824024306,0.9646497663445472,-162.88714259942404,,1637632665.7155068
Tue Nov 23 08:58:44 2021,4500,-9.126098049111008,0.06779030787655049,0.956006826800716,-6.97259056554968,,1637632724.4411657
Tue Nov 23 08:59:38 2021,5400,6.993615724140287,0.0698708004794187,0.947441325106938,-25.25467188758384,,1637632778.077424
Tue Nov 23 09:00:31 2021,6300,2.9536875340344206,0.07101798370894459,0.9389525674459531,-117.57988756536574,,1637632831.535173
Tue Nov 23 09:01:26 2021,7200,-12.183357387918326,0.07152214547826184,0.9305398662168712,-11.414302259348666,,1637632886.671792
Tue Nov 23 09:02:22 2021,8100,-39.19633707843521,0.07629388822449579,0.9222025399794822,50.29527461313154,True,1637632942.7019475
Tue Nov 23 09:03:19 2021,9000,2.688834062054352,0.06624001407167977,0.9139399133990471,-31.039792773807044,,1637632999.1746676
Tue Nov 23 09:04:15 2021,9900,-21.722091996131297,0.06601517996440331,0.9057513171916037,3.639990133085476,,1637633055.4950154
Tue Nov 23 09:05:12 2021,10800,-10.970343472181813,0.06348534040566947,0.8976360880697495,-130.73486429884534,,1637633112.3288367
Tue Nov 23 09:06:08 2021,11700,-14.354087482076139,0.06515167704886861,0.889593568688912,16.348947940149827,,1637633168.6306283
Tue Nov 23 09:07:05 2021,12600,10.700460216996476,0.06281938781961799,0.8816231075941141,-123.19398856027665,,1637633225.5176394
Tue Nov 23 09:08:02 2021,13500,-45.56739683662862,0.0618369252834883,0.873724059167187,-151.84798910474174,,1637633282.512513
Tue Nov 23 09:09:00 2021,14400,-12.156508151860493,0.06109869110501475,0.8658957835744937,-190.81761977217576,,1637633340.466755
Tue Nov 23 09:09:57 2021,15300,10.661700997507847,0.05875195100282629,0.8581376467150921,-35.515208347430715,,1637633397.0921645
Tue Nov 23 09:10:56 2021,16200,14.016847960011239,0.05298330663806862,0.8504490201693695,-75.77960888124117,,1637633456.2959924
Tue Nov 23 09:11:53 2021,17100,9.937963154593131,0.054686004569133126,0.8428292811481425,-141.8715278827537,,1637633513.6978066
Tue Nov 23 09:12:52 2021,18000,44.597252315653236,0.05357160901133385,0.8352778124422134,-12.970116524091445,,1637633572.7126656
Tue Nov 23 09:13:51 2021,18900,8.4460047347694,0.05353924553220471,0.8277940023723716,8.673032589231738,,1637633631.7648883
Tue Nov 23 09:14:50 2021,19800,-4.424779298821152,0.05602685486690866,0.8203772447398489,-110.73749422170373,,1637633690.848949
Tue Nov 23 09:15:48 2021,20700,51.98309775884932,0.05289014749849836,0.8130269387772104,-202.75068675156137,,1637633748.5187316
Tue Nov 23 09:16:46 2021,21600,-20.656327888876316,0.053191125185953245,0.8057424890997034,-84.74276081349288,,1637633806.52503
Tue Nov 23 09:17:45 2021,22500,-15.313882433487787,0.048651716562194955,0.798523305657021,-117.0140392940749,,1637633865.2509332
Tue Nov 23 09:18:46 2021,23400,7.20443274775273,0.05166013880736298,0.791368803685508,-81.04240442802654,,1637633926.001111
Tue Nov 23 09:19:45 2021,24300,-11.880475673981909,0.046744608818035986,0.7842784036607982,-55.47833407722666,,1637633985.9041984
Tue Nov 23 09:20:46 2021,25200,1.0799961491075605,0.04596354949701991,0.7772515312508697,-113.97279500318864,,1637634046.4660487
Tue Nov 23 09:21:46 2021,26100,-22.528328785251357,0.0444434307463881,0.7702876172695216,-34.37962590851761,,1637634106.9304988
Tue Nov 23 09:22:47 2021,27000,-4.5443591257962765,0.043975555450759,0.7633860976302757,-35.931407927903265,,1637634167.3416178
Tue Nov 23 09:23:47 2021,27900,-9.478568513550936,0.03827480634363989,0.7565464133006761,17.181290001127493,,1637634227.582518
Tue Nov 23 09:24:48 2021,28800,11.15961106873623,0.04140603613729278,0.7497680102570136,-97.22171897121426,,1637634288.2120588
Tue Nov 23 09:25:48 2021,29700,-8.57111440323856,0.040244339616555304,0.7430503394394447,-15.113637308663534,,1637634348.1236796
Tue Nov 23 09:26:47 2021,30600,-7.2566176728037775,0.041609844708194337,0.7363928567075162,-39.0563138246314,,1637634407.8668346
Tue Nov 23 09:27:48 2021,31500,-1.6227825030871363,0.04339852477527327,0.7297950227960978,-94.08865878799645,,1637634468.0883286
Tue Nov 23 09:28:49 2021,32400,18.7959761892728,0.042858371255505415,0.7232563032716876,-35.871910016598534,,1637634529.3833215
Tue Nov 23 09:29:49 2021,33300,-14.161553403934331,0.04090805978203813,0.7167761684891342,-13.027263510148927,,1637634589.2758496
Tue Nov 23 09:30:49 2021,34200,-6.6565257255761106,0.04115821655943162,0.710354093548728,59.76813244328277,True,1637634649.6287365
Tue Nov 23 09:31:58 2021,35100,-29.271929826604033,0.0393837501336303,0.7039895582536885,-66.77353268548876,,1637634718.8085241
Tue Nov 23 09:33:06 2021,36000,11.96808814643263,0.03915950830818878,0.6976820470680167,-82.04646337547136,,1637634786.8470323
Tue Nov 23 09:34:10 2021,36900,9.960487007106364,0.037848907684286434,0.6914310490747512,-10.589022348043585,,1637634850.0997078
